IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Parallel,Syrian Arab Republic,Nubul,SYP,15/01/2018,460,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Inshaat,SYP,15/01/2018,460,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,As-Salamiyeh,SYP,15/01/2018,463,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Afrin,SYP,15/01/2018,467,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Hrak,SYP,15/01/2018,468,TPM Field Monitors/Amman Sub Office
Parallel,Syrian Arab Republic,Eastern Ghouta,SYP,15/01/2018,467,Third Party Monitors
Parallel,Syrian Arab Republic,Dar'a (XB),SYP,15/01/2018,385,TPM Field Monitors/Amman Sub Office
Parallel,Syrian Arab Republic,Al Fiq,SYP,15/01/2018,462,Third Party Monitors
Parallel,Syrian Arab Republic,Izr'a,SYP,15/01/2018,468,Third Party Monitors
Parallel,Syrian Arab Republic,Izr'a,SYP,15/02/2018,492,Third Party Monitors
Parallel,Syrian Arab Republic,Al Fiq,SYP,15/02/2018,461,Third Party Monitors
Parallel,Syrian Arab Republic,Jizeh,SYP,15/02/2018,460,Third Party Monitors
Parallel,Syrian Arab Republic,Dar'a (XB),SYP,15/02/2018,463,TPM Field Monitors/Amman Sub Office
Parallel,Syrian Arab Republic,Hrak,SYP,15/02/2018,492,TPM Field Monitors/Amman Sub Office
Parallel,Syrian Arab Republic,Afrin,SYP,15/02/2018,467,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,As-Salamiyeh,SYP,15/02/2018,460,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Inshaat,SYP,15/02/2018,460,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Nubul,SYP,15/02/2018,463,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Qaryatein,SYP,15/02/2018,462,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,As-Sweida,SYP,15/02/2018,467,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shrebishat,SYP,15/02/2018,467,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Rafid,SYP,15/02/2018,460,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shahba,SYP,15/02/2018,467,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Mzeireb,SYP,15/02/2018,461,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Khan Arnaba,SYP,15/02/2018,467,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Rural Safita,SYP,15/02/2018,465,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Ekrema,SYP,15/02/2018,460,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Bennsh,SYP,15/02/2018,465,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,At-Tall,SYP,15/02/2018,469,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Idleb,SYP,15/02/2018,465,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,Al-Cha'ar,SYP,15/02/2018,463,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Moghambo,SYP,15/02/2018,463,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Masyaf,SYP,15/02/2018,461,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Hama,SYP,15/02/2018,460,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Lattakia,SYP,15/02/2018,463,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Jablah,SYP,15/02/2018,463,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Tell Abiad,SYP,15/02/2018,462,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Tartous,SYP,15/02/2018,463,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Ar-Raqqa,SYP,15/02/2018,463,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Quamishli,SYP,15/02/2018,462,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Al-Hasakeh,SYP,15/02/2018,463,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Qudsiya,SYP,15/02/2018,466,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Dar'a,SYP,15/02/2018,465,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Sheikh Sa'ad,SYP,15/02/2018,465,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Sheikh Sa'ad,SYP,15/03/2018,467,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Qudsiya,SYP,15/03/2018,468,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Al-Hasakeh,SYP,15/03/2018,462,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Dar'a,SYP,15/03/2018,465,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Quamishli,SYP,15/03/2018,462,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Ar-Raqqa,SYP,15/03/2018,463,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Tartous,SYP,15/03/2018,462,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Tell Abiad,SYP,15/03/2018,462,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Jablah,SYP,15/03/2018,463,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Lattakia,SYP,15/03/2018,463,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Hama,SYP,15/03/2018,462,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Masyaf,SYP,15/03/2018,463,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Moghambo,SYP,15/03/2018,463,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Al-Cha'ar,SYP,15/03/2018,463,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Idleb,SYP,15/03/2018,451,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,At-Tall,SYP,15/03/2018,466,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Bennsh,SYP,15/03/2018,451,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,Ekrema,SYP,15/03/2018,462,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Rural Safita,SYP,15/03/2018,464,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Khan Arnaba,SYP,15/03/2018,460,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Mzeireb,SYP,15/03/2018,461,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shahba,SYP,15/03/2018,465,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Rafid,SYP,15/03/2018,455,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shrebishat,SYP,15/03/2018,468,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,As-Sweida,SYP,15/03/2018,465,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Qaryatein,SYP,15/03/2018,462,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Nubul,SYP,15/03/2018,463,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Inshaat,SYP,15/03/2018,462,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,As-Salamiyeh,SYP,15/03/2018,463,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Hrak,SYP,15/03/2018,464,TPM Field Monitors/Amman Sub Office
Parallel,Syrian Arab Republic,Dar'a (XB),SYP,15/03/2018,460,TPM Field Monitors/Amman Sub Office
Parallel,Syrian Arab Republic,Al Fiq,SYP,15/03/2018,468,Third Party Monitors
Parallel,Syrian Arab Republic,Jizeh,SYP,15/03/2018,462,Third Party Monitors
Parallel,Syrian Arab Republic,Izr'a,SYP,15/03/2018,464,Third Party Monitors
Parallel,Syrian Arab Republic,Al Fiq,SYP,15/04/2018,442,Third Party Monitors
Parallel,Syrian Arab Republic,Jizeh,SYP,15/04/2018,431,Third Party Monitors
Parallel,Syrian Arab Republic,Dar'a (XB),SYP,15/04/2018,427,TPM Field Monitors/Amman Sub Office
Parallel,Syrian Arab Republic,Izr'a,SYP,15/04/2018,435,Third Party Monitors
Parallel,Syrian Arab Republic,Hrak,SYP,15/04/2018,435,TPM Field Monitors/Amman Sub Office
Parallel,Syrian Arab Republic,As-Salamiyeh,SYP,15/04/2018,430,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Inshaat,SYP,15/04/2018,430,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Nubul,SYP,15/04/2018,463,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Qaryatein,SYP,15/04/2018,430,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,As-Sweida,SYP,15/04/2018,430,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shrebishat,SYP,15/04/2018,434,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Rafid,SYP,15/04/2018,438,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shahba,SYP,15/04/2018,430,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Mzeireb,SYP,15/04/2018,423,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Khan Arnaba,SYP,15/04/2018,438,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Rural Safita,SYP,15/04/2018,450,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Ekrema,SYP,15/04/2018,430,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Bennsh,SYP,15/04/2018,442,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,At-Tall,SYP,15/04/2018,435,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Idleb,SYP,15/04/2018,442,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,Al-Cha'ar,SYP,15/04/2018,463,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Moghambo,SYP,15/04/2018,463,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Masyaf,SYP,15/04/2018,430,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Hama,SYP,15/04/2018,430,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Lattakia,SYP,15/04/2018,450,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Jablah,SYP,15/04/2018,449,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Tell Abiad,SYP,15/04/2018,438,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Tartous,SYP,15/04/2018,449,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Ar-Raqqa,SYP,15/04/2018,445,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Quamishli,SYP,15/04/2018,438,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Dar'a,SYP,15/04/2018,445,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Al-Hasakeh,SYP,15/04/2018,443,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Qudsiya,SYP,15/04/2018,435,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Sheikh Sa'ad,SYP,15/04/2018,436,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Sheikh Sa'ad,SYP,15/05/2018,440,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Qudsiya,SYP,15/05/2018,438,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Al-Hasakeh,SYP,15/05/2018,447,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Dar'a,SYP,15/05/2018,441,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Quamishli,SYP,15/05/2018,438,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Ar-Raqqa,SYP,15/05/2018,441,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Tartous,SYP,15/05/2018,437,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Tell Abiad,SYP,15/05/2018,438,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Jablah,SYP,15/05/2018,435,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Lattakia,SYP,15/05/2018,437,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Hama,SYP,15/05/2018,435,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Masyaf,SYP,15/05/2018,435,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Moghambo,SYP,15/05/2018,438,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Al-Cha'ar,SYP,15/05/2018,438,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Idleb,SYP,15/05/2018,441,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,At-Tall,SYP,15/05/2018,438,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Bennsh,SYP,15/05/2018,440,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,Ekrema,SYP,15/05/2018,435,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Rural Safita,SYP,15/05/2018,438,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Khan Arnaba,SYP,15/05/2018,443,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Mzeireb,SYP,15/05/2018,438,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shahba,SYP,15/05/2018,434,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Rafid,SYP,15/05/2018,438,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shrebishat,SYP,15/05/2018,438,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,As-Sweida,SYP,15/05/2018,434,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Qaryatein,SYP,15/05/2018,435,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Nubul,SYP,15/05/2018,438,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Inshaat,SYP,15/05/2018,435,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,As-Salamiyeh,SYP,15/05/2018,435,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Hrak,SYP,15/05/2018,434,TPM Field Monitors/Amman Sub Office
Parallel,Syrian Arab Republic,Jizeh,SYP,15/05/2018,430,Third Party Monitors
Parallel,Syrian Arab Republic,Al Fiq,SYP,15/05/2018,435,Third Party Monitors
Parallel,Syrian Arab Republic,Izr'a,SYP,15/05/2018,434,Third Party Monitors
Parallel,Syrian Arab Republic,Dar'a (XB),SYP,15/05/2018,435,TPM Field Monitors/Amman Sub Office
Parallel,Syrian Arab Republic,Dar'a (XB),SYP,15/06/2018,444,TPM Field Monitors/Amman Sub Office
Parallel,Syrian Arab Republic,Jizeh,SYP,15/06/2018,442,Third Party Monitors
Parallel,Syrian Arab Republic,Al Fiq,SYP,15/06/2018,443,Third Party Monitors
Parallel,Syrian Arab Republic,Izr'a,SYP,15/06/2018,435,Third Party Monitors
Parallel,Syrian Arab Republic,Hrak,SYP,15/06/2018,412,TPM Field Monitors/Amman Sub Office
Parallel,Syrian Arab Republic,Afrin,SYP,15/06/2018,440,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,As-Salamiyeh,SYP,15/06/2018,435,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Inshaat,SYP,15/06/2018,435,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Nubul,SYP,15/06/2018,443,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Qaryatein,SYP,15/06/2018,435,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,As-Sweida,SYP,15/06/2018,437,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shrebishat,SYP,15/06/2018,443,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shahba,SYP,15/06/2018,437,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Rafid,SYP,15/06/2018,439,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Mzeireb,SYP,15/06/2018,447,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Khan Arnaba,SYP,15/06/2018,445,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Rural Safita,SYP,15/06/2018,443,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Ekrema,SYP,15/06/2018,435,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,At-Tall,SYP,15/06/2018,441,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Bennsh,SYP,15/06/2018,444,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,Idleb,SYP,15/06/2018,444,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,Al-Cha'ar,SYP,15/06/2018,444,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Moghambo,SYP,15/06/2018,444,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Masyaf,SYP,15/06/2018,435,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Hama,SYP,15/06/2018,435,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Lattakia,SYP,15/06/2018,441,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Jablah,SYP,15/06/2018,441,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Tell Abiad,SYP,15/06/2018,439,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Tartous,SYP,15/06/2018,443,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Ar-Raqqa,SYP,15/06/2018,445,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Quamishli,SYP,15/06/2018,439,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Dar'a,SYP,15/06/2018,441,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Al-Hasakeh,SYP,15/06/2018,439,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Qudsiya,SYP,15/06/2018,443,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Sheikh Sa'ad,SYP,15/06/2018,443,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Sheikh Sa'ad,SYP,15/07/2018,446,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Qudsiya,SYP,15/07/2018,446,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Al-Hasakeh,SYP,15/07/2018,440,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Dar'a,SYP,15/07/2018,442,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Quamishli,SYP,15/07/2018,442,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Ar-Raqqa,SYP,15/07/2018,444,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Tartous,SYP,15/07/2018,445,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Tell Abiad,SYP,15/07/2018,440,Field Monitors/Qamishly Sub Office
Parallel,Syrian Arab Republic,Jablah,SYP,15/07/2018,439,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Lattakia,SYP,15/07/2018,435,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Hama,SYP,15/07/2018,438,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Masyaf,SYP,15/07/2018,438,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Moghambo,SYP,15/07/2018,441,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Al-Cha'ar,SYP,15/07/2018,441,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Idleb,SYP,15/07/2018,444,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,Bennsh,SYP,15/07/2018,444,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,At-Tall,SYP,15/07/2018,443,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Ekrema,SYP,15/07/2018,438,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Rural Safita,SYP,15/07/2018,446,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,Khan Arnaba,SYP,15/07/2018,445,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Mzeireb,SYP,15/07/2018,413,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shahba,SYP,15/07/2018,438,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Rafid,SYP,15/07/2018,440,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shrebishat,SYP,15/07/2018,446,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,As-Sweida,SYP,15/07/2018,441,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Qaryatein,SYP,15/07/2018,438,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Nubul,SYP,15/07/2018,441,Field Monitors/Aleppo Sub Office
Parallel,Syrian Arab Republic,Inshaat,SYP,15/07/2018,438,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,As-Salamiyeh,SYP,15/07/2018,438,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Afrin,SYP,15/07/2018,438,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Al Fiq,SYP,15/07/2018,430,Third Party Monitors
Parallel,Syrian Arab Republic,Dar'a (XB),SYP,15/07/2018,402,TPM Field Monitors/Amman Sub Office
Parallel,Syrian Arab Republic,Dar'a (XB),SYP,15/08/2018,420,TPM Field Monitors/Amman Sub Office
Parallel,Syrian Arab Republic,Afrin,SYP,15/08/2018,442,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,As-Salamiyeh,SYP,15/08/2018,442,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Inshaat,SYP,15/08/2018,440,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Qaryatein,SYP,15/08/2018,440,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,As-Sweida,SYP,15/08/2018,438,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shrebishat,SYP,15/08/2018,445,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Shahba,SYP,15/08/2018,435,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Rafid,SYP,15/08/2018,446,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Khan Arnaba,SYP,15/08/2018,445,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Mzeireb,SYP,15/08/2018,439,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Ekrema,SYP,15/08/2018,440,Field Monitors/Homs Sub Office
Parallel,Syrian Arab Republic,Rural Safita,SYP,15/08/2018,446,Field Monitors/Tartous Sub Offices
Parallel,Syrian Arab Republic,At-Tall,SYP,15/08/2018,445,Field Monitors/Thrid Party Monitor (TPM)
Parallel,Syrian Arab Republic,Bennsh,SYP,15/08/2018,452,Field Monitors/Gazientap Sub Office
Parallel,Syrian Arab Republic,Idleb,SYP,15/08/2018,452,Field Monitors/Gazientap Sub Office
