,Commodity,Price Date,Price
19914,"Fuel (diesel, heating, parallel market)",2024-01-15,9574.0
19915,"Fuel (diesel, heating, parallel market)",2024-02-15,10084.9
19916,"Fuel (diesel, heating, parallel market)",2024-03-15,9652.774152
19917,"Fuel (diesel, heating, parallel market)",2024-04-15,11401.33336
19918,"Fuel (diesel, heating, parallel market)",2024-05-15,11097.096986
19919,"Fuel (diesel, heating, parallel market)",2024-06-15,9832.521735
19920,"Fuel (diesel, heating, parallel market)",2024-07-15,9964.6129
19921,"Fuel (diesel, heating, parallel market)",2024-08-15,9969.677391
19922,"Fuel (diesel, heating, parallel market)",2024-09-15,10191.599996
19923,"Fuel (diesel, heating, parallel market)",2024-10-15,10720.161316
19924,"Fuel (diesel, heating, parallel market)",2024-11-15,11253.50005
19925,"Fuel (diesel, heating, parallel market)",2024-12-15,15255.333608
19926,"Fuel (diesel, heating, parallel market)",2025-01-15,8853.11533
19927,"Fuel (diesel, heating, parallel market)",2025-02-15,9135.0
19928,"Fuel (diesel, heating, parallel market)",2025-03-15,14052.7588
19929,"Fuel (diesel, heating, parallel market)",2025-04-15,14362.542
19930,"Fuel (diesel, heating, parallel market)",2025-05-15,14672.542
19931,"Fuel (diesel, heating, parallel market)",2025-06-15,14982.5205
19932,"Fuel (diesel, transport, parallel market)",2023-01-15,6833.3333
19933,"Fuel (diesel, transport, parallel market)",2023-02-15,7199.275378
19934,"Fuel (diesel, transport, parallel market)",2023-03-15,7473.193547
19935,"Fuel (diesel, transport, parallel market)",2023-04-15,7700.0
19936,"Fuel (diesel, transport, parallel market)",2023-06-15,9123.845908
19937,"Fuel (diesel, transport, parallel market)",2023-07-15,12079.580686
19938,"Fuel (diesel, transport, parallel market)",2023-08-15,15711.742145
19939,"Fuel (diesel, transport, parallel market)",2023-09-15,16940.000042
19940,"Fuel (diesel, transport, parallel market)",2023-10-15,17000.0
19941,"Fuel (diesel, transport, parallel market)",2023-11-15,7973.408899
19942,"Fuel (diesel, transport, parallel market)",2023-12-15,8993.387144
19943,"Fuel (diesel, transport, parallel market)",2024-01-15,9888.0
19944,"Fuel (diesel, transport, parallel market)",2024-02-15,10323.600038
19945,"Fuel (diesel, transport, parallel market)",2024-03-15,10393.645191
19946,"Fuel (diesel, transport, parallel market)",2024-04-15,11455.466697
19947,"Fuel (diesel, transport, parallel market)",2024-05-15,11097.096986
19948,"Fuel (diesel, transport, parallel market)",2024-06-15,9832.521735
19949,"Fuel (diesel, transport, parallel market)",2024-07-15,9964.6129
19950,"Fuel (diesel, transport, parallel market)",2024-08-15,9981.193523
19951,"Fuel (diesel, transport, parallel market)",2024-09-15,10191.599996
19952,"Fuel (diesel, transport, parallel market)",2024-10-15,10769.838701
19953,"Fuel (diesel, transport, parallel market)",2024-11-15,11292.000023
19954,"Fuel (diesel, transport, parallel market)",2024-12-15,15255.333608
19955,"Fuel (diesel, transport, parallel market)",2025-01-15,8992.538294
19956,"Fuel (diesel, transport, parallel market)",2025-02-15,9860.0
19957,"Fuel (diesel, transport, parallel market)",2025-03-15,12023.1055
19958,"Fuel (diesel, transport, parallel market)",2025-04-15,12267.2734
19959,"Fuel (diesel, transport, parallel market)",2025-05-15,12511.4404
19960,"Fuel (diesel, transport, parallel market)",2025-06-15,12755.6084
19961,Fuel (diesel),2023-02-15,7052.608675
19962,Fuel (diesel),2023-03-15,7290.0
19963,Fuel (diesel),2023-07-15,13900.0
19964,Fuel (diesel),2023-08-15,15028.387267
19965,Fuel (diesel),2023-09-15,15990.000007
19966,Fuel (diesel),2023-10-15,16250.0
19967,Fuel (diesel),2023-11-15,21936.0703
19968,Fuel (diesel),2023-12-15,25884.334
19969,Fuel (diesel),2024-01-15,24008.7324
19970,Fuel (diesel),2024-02-15,30221.7832
19971,Fuel (diesel),2024-03-15,31190.8184
19972,Fuel (diesel),2024-04-15,38742.1914
20002,Oil,2023-01-15,12083.3333
20003,Oil,2023-02-15,12437.971022
20004,Oil,2023-03-15,13095.48388
20005,Oil,2023-04-15,13550.0
20006,Oil,2023-06-15,12028.205266
20007,Oil,2023-07-15,16123.441037
20008,Oil,2023-08-15,22296.774489
20009,Oil,2023-09-15,23286.666792
20010,Oil,2023-10-15,22800.0
20011,Oil,2023-11-15,17156.210806
20012,Oil,2023-12-15,17936.161015
20013,Oil,2024-01-15,19380.6
20014,Oil,2024-02-15,20154.439939
20015,Oil,2024-03-15,21435.096861
20016,Oil,2024-04-15,23296.886224
20017,Oil,2024-05-15,24327.635241
20018,Oil,2024-06-15,22329.854269
20019,Oil,2024-07-15,23150.106777
20020,Oil,2024-08-15,23388.709764
20021,Oil,2024-09-15,22642.888983
20022,Oil,2024-10-15,23415.593151
20023,Oil,2024-11-15,26503.667346
20024,Oil,2024-12-15,35084.219752
20025,Oil,2025-01-15,18081.666067
20026,Oil,2025-02-15,16530.0
20027,Oil,2025-03-15,25812.2754
20028,Oil,2025-04-15,26129.4766
20029,Oil,2025-05-15,26532.1074
20030,Oil,2025-06-15,26977.9082
20031,"Fuel (diesel, heating, parallel market)",2023-01-15,10000.0
20032,"Fuel (diesel, heating, parallel market)",2023-02-15,7500.0
20033,"Fuel (diesel, heating, parallel market)",2023-03-15,7500.0
20034,"Fuel (diesel, heating, parallel market)",2023-04-15,7500.0
20035,"Fuel (diesel, heating, parallel market)",2023-05-15,7000.0
20036,"Fuel (diesel, heating, parallel market)",2023-06-15,7000.0
20037,"Fuel (diesel, heating, parallel market)",2023-07-15,8072.580579
20038,"Fuel (diesel, heating, parallel market)",2023-08-15,12250.0
20039,"Fuel (diesel, heating, parallel market)",2023-09-15,14725.000192
20040,"Fuel (diesel, heating, parallel market)",2023-10-15,14274.193526
20041,"Fuel (diesel, heating, parallel market)",2023-11-15,14291.666579
20042,"Fuel (diesel, heating, parallel market)",2023-12-15,15225.806473
20043,"Fuel (diesel, heating, parallel market)",2024-01-15,14421.052704
20044,"Fuel (diesel, heating, parallel market)",2024-02-15,13637.930934
20045,"Fuel (diesel, heating, parallel market)",2024-03-15,13709.677342
20046,"Fuel (diesel, heating, parallel market)",2024-04-15,13649.999976
20047,"Fuel (diesel, heating, parallel market)",2024-05-15,14919.354893
20048,"Fuel (diesel, heating, parallel market)",2024-06-15,16433.333395
20049,"Fuel (diesel, heating, parallel market)",2024-07-15,16790.322657
20050,"Fuel (diesel, heating, parallel market)",2024-08-15,16209.67739
20051,"Fuel (diesel, heating, parallel market)",2024-09-15,16750.0
20052,"Fuel (diesel, heating, parallel market)",2024-10-15,18854.83892
20053,"Fuel (diesel, heating, parallel market)",2024-11-15,20133.333473
20054,"Fuel (diesel, heating, parallel market)",2024-12-15,19659.090916
20055,"Fuel (diesel, heating, parallel market)",2025-01-15,13673.077052
20056,"Fuel (diesel, heating, parallel market)",2025-02-15,13000.0
20057,"Fuel (diesel, heating, parallel market)",2025-03-15,19367.2188
20058,"Fuel (diesel, heating, parallel market)",2025-04-15,19588.6641
20059,"Fuel (diesel, heating, parallel market)",2025-05-15,19853.2559
20060,"Fuel (diesel, heating, parallel market)",2025-06-15,20149.2285
20061,"Fuel (diesel, transport, parallel market)",2023-01-15,9466.6666
20062,"Fuel (diesel, transport, parallel market)",2023-02-15,7285.507262
20063,"Fuel (diesel, transport, parallel market)",2023-03-15,7250.591414
20064,"Fuel (diesel, transport, parallel market)",2023-04-15,7067.0
20065,"Fuel (diesel, transport, parallel market)",2023-06-15,7276.923075
20066,"Fuel (diesel, transport, parallel market)",2023-07-15,7747.32254
20067,"Fuel (diesel, transport, parallel market)",2023-08-15,11523.64513
20068,"Fuel (diesel, transport, parallel market)",2023-09-15,14995.466591
20069,"Fuel (diesel, transport, parallel market)",2023-10-15,15367.0
20070,"Fuel (diesel, transport, parallel market)",2023-11-15,14299.999887
20071,"Fuel (diesel, transport, parallel market)",2023-12-15,15225.806473
20072,"Fuel (diesel, transport, parallel market)",2024-01-15,14421.052704
20073,"Fuel (diesel, transport, parallel market)",2024-02-15,13637.930934
20074,"Fuel (diesel, transport, parallel market)",2024-03-15,13709.677342
20075,"Fuel (diesel, transport, parallel market)",2024-04-15,13649.999976
20076,"Fuel (diesel, transport, parallel market)",2024-05-15,14919.354893
20077,"Fuel (diesel, transport, parallel market)",2024-06-15,16433.333395
20078,"Fuel (diesel, transport, parallel market)",2024-07-15,16790.322657
20079,"Fuel (diesel, transport, parallel market)",2024-08-15,16209.67739
20080,"Fuel (diesel, transport, parallel market)",2024-09-15,16750.0
20081,"Fuel (diesel, transport, parallel market)",2024-10-15,18854.83892
20082,"Fuel (diesel, transport, parallel market)",2024-11-15,20133.333473
20083,"Fuel (diesel, transport, parallel market)",2024-12-15,19659.090916
20084,"Fuel (diesel, transport, parallel market)",2025-01-15,13673.077052
20085,"Fuel (diesel, transport, parallel market)",2025-02-15,13000.0
20086,"Fuel (diesel, transport, parallel market)",2025-03-15,20575.1855
20087,"Fuel (diesel, transport, parallel market)",2025-04-15,20865.207
20088,"Fuel (diesel, transport, parallel market)",2025-05-15,21180.8906
20089,"Fuel (diesel, transport, parallel market)",2025-06-15,21443.3691
20090,Fuel (diesel),2023-01-15,750.0
20091,Fuel (diesel),2023-02-15,750.0
20092,Fuel (diesel),2023-03-15,750.0
20093,Fuel (diesel),2023-04-15,750.0
20094,Fuel (diesel),2023-05-15,750.0
20095,Fuel (diesel),2023-06-15,750.0
20096,Fuel (diesel),2023-07-15,750.0
20097,Fuel (diesel),2023-08-15,1322.916697
20098,Fuel (diesel),2023-09-15,2000.0
20099,Fuel (diesel),2023-10-15,2000.0
20100,Fuel (diesel),2023-11-15,2000.0
20101,Fuel (diesel),2023-12-15,2000.0
20102,Fuel (diesel),2024-01-15,4192.105436
20103,Fuel (diesel),2024-02-15,2000.0
20104,Fuel (diesel),2024-03-15,2000.0
20105,Fuel (diesel),2024-04-15,2000.0
20106,Fuel (diesel),2024-05-15,2000.0
20107,Fuel (diesel),2024-06-15,2000.0
20108,Fuel (diesel),2024-07-15,2000.0
20109,Fuel (diesel),2024-08-15,2000.0
20110,Fuel (diesel),2024-09-15,2000.0
20111,Fuel (diesel),2024-10-15,4419.355232
20112,Fuel (diesel),2024-11-15,5000.0
20113,Fuel (diesel),2024-12-15,5747.727306
20114,Fuel (diesel),2025-01-15,12463.846339
20115,Fuel (diesel),2025-02-15,11500.0
20116,Fuel (diesel),2025-03-15,5840.9224
20117,Fuel (diesel),2025-04-15,5924.8013
20118,Fuel (diesel),2025-05-15,6008.6592
20119,Fuel (diesel),2025-06-15,6092.519
20179,Oil,2023-01-15,18233.3333
20180,Oil,2023-02-15,19963.768091
20181,Oil,2023-03-15,20177.494659
20182,Oil,2023-04-15,20000.0
20183,Oil,2023-06-15,16556.410372
20184,Oil,2023-07-15,16319.365415
20185,Oil,2023-08-15,25129.129321
20186,Oil,2023-09-15,27109.966566
20187,Oil,2023-10-15,27500.0
20188,Oil,2023-11-15,23506.665147
20189,Oil,2023-12-15,23607.451268
20190,Oil,2024-01-15,23254.386283
20191,Oil,2024-02-15,27115.069043
20192,Oil,2024-03-15,24107.709429
20193,Oil,2024-04-15,23455.556297
20194,Oil,2024-05-15,23172.041399
20195,Oil,2024-06-15,22483.334387
20196,Oil,2024-07-15,21967.742287
20197,Oil,2024-08-15,23715.057176
20198,Oil,2024-09-15,23994.44526
20199,Oil,2024-10-15,27451.612801
20200,Oil,2024-11-15,26955.555953
20201,Oil,2024-12-15,24424.242185
20202,Oil,2025-01-15,19358.976222
20203,Oil,2025-02-15,19000.0
20204,Oil,2025-03-15,64481.8398
20205,Oil,2025-04-15,81783.7188
20206,Oil,2025-05-15,136402.3125
20207,Oil,2025-06-15,160968.6719
20208,"Fuel (diesel, heating, parallel market)",2023-01-15,10250.0
20209,"Fuel (diesel, heating, parallel market)",2023-02-15,9000.0
20210,"Fuel (diesel, heating, parallel market)",2023-03-15,8161.290213
20211,"Fuel (diesel, heating, parallel market)",2023-04-15,8000.0
20212,"Fuel (diesel, heating, parallel market)",2023-05-15,7250.0
20213,"Fuel (diesel, heating, parallel market)",2023-06-15,7250.0
20214,"Fuel (diesel, heating, parallel market)",2023-07-15,7395.161159
20215,"Fuel (diesel, heating, parallel market)",2023-08-15,11750.0
20216,"Fuel (diesel, heating, parallel market)",2023-09-15,15575.000297
20217,"Fuel (diesel, heating, parallel market)",2023-10-15,14064.51607
20218,"Fuel (diesel, heating, parallel market)",2023-11-15,13866.66676
20219,"Fuel (diesel, heating, parallel market)",2023-12-15,13903.225893
20220,"Fuel (diesel, heating, parallel market)",2024-01-15,14368.421081
20221,"Fuel (diesel, heating, parallel market)",2024-02-15,13517.241246
20222,"Fuel (diesel, heating, parallel market)",2024-03-15,14000.0
20223,"Fuel (diesel, heating, parallel market)",2024-04-15,14299.999953
20224,"Fuel (diesel, heating, parallel market)",2024-05-15,15000.0
20225,"Fuel (diesel, heating, parallel market)",2024-06-15,15000.0
20226,"Fuel (diesel, heating, parallel market)",2024-07-15,17000.0
20227,"Fuel (diesel, heating, parallel market)",2024-08-15,17000.0
20228,"Fuel (diesel, heating, parallel market)",2024-09-15,17000.0
20229,"Fuel (diesel, heating, parallel market)",2024-10-15,17000.0
20230,"Fuel (diesel, heating, parallel market)",2024-11-15,17000.0
20231,"Fuel (diesel, heating, parallel market)",2024-12-15,18590.909163
20232,"Fuel (diesel, heating, parallel market)",2025-01-15,13442.307873
20233,"Fuel (diesel, heating, parallel market)",2025-02-15,12500.0
20234,"Fuel (diesel, heating, parallel market)",2025-03-15,18509.6465
20235,"Fuel (diesel, heating, parallel market)",2025-04-15,18870.9824
20236,"Fuel (diesel, heating, parallel market)",2025-05-15,19236.1172
20237,"Fuel (diesel, heating, parallel market)",2025-06-15,19603.4395
20238,"Fuel (diesel, transport, parallel market)",2023-01-15,10166.6666
20239,"Fuel (diesel, transport, parallel market)",2023-02-15,8608.695705
20240,"Fuel (diesel, transport, parallel market)",2023-03-15,7806.451631
20241,"Fuel (diesel, transport, parallel market)",2023-04-15,7500.0
20242,"Fuel (diesel, transport, parallel market)",2023-06-15,7320.511888
20243,"Fuel (diesel, transport, parallel market)",2023-07-15,7387.096763
20244,"Fuel (diesel, transport, parallel market)",2023-08-15,10629.03217
20245,"Fuel (diesel, transport, parallel market)",2023-09-15,16000.0
20246,"Fuel (diesel, transport, parallel market)",2023-10-15,16000.0
20247,"Fuel (diesel, transport, parallel market)",2023-11-15,13840.000134
20248,"Fuel (diesel, transport, parallel market)",2023-12-15,13903.225893
20249,"Fuel (diesel, transport, parallel market)",2024-01-15,14368.421081
20250,"Fuel (diesel, transport, parallel market)",2024-02-15,13517.241246
20251,"Fuel (diesel, transport, parallel market)",2024-03-15,14000.0
20252,"Fuel (diesel, transport, parallel market)",2024-04-15,14299.999953
20253,"Fuel (diesel, transport, parallel market)",2024-05-15,15000.0
20254,"Fuel (diesel, transport, parallel market)",2024-06-15,15000.0
20255,"Fuel (diesel, transport, parallel market)",2024-07-15,17000.0
20256,"Fuel (diesel, transport, parallel market)",2024-08-15,17000.0
20257,"Fuel (diesel, transport, parallel market)",2024-09-15,17000.0
20258,"Fuel (diesel, transport, parallel market)",2024-10-15,17000.0
20259,"Fuel (diesel, transport, parallel market)",2024-11-15,17000.0
20260,"Fuel (diesel, transport, parallel market)",2024-12-15,18590.909163
20261,"Fuel (diesel, transport, parallel market)",2025-01-15,13442.307873
20262,"Fuel (diesel, transport, parallel market)",2025-02-15,12500.0
20263,"Fuel (diesel, transport, parallel market)",2025-03-15,18298.5195
20264,"Fuel (diesel, transport, parallel market)",2025-04-15,18578.9941
20265,"Fuel (diesel, transport, parallel market)",2025-05-15,18867.4258
20266,"Fuel (diesel, transport, parallel market)",2025-06-15,19161.2012
20267,Fuel (diesel),2023-01-15,750.0
20268,Fuel (diesel),2023-02-15,750.0
20269,Fuel (diesel),2023-03-15,750.0
20270,Fuel (diesel),2023-04-15,750.0
20271,Fuel (diesel),2023-05-15,750.0
20272,Fuel (diesel),2023-06-15,750.0
20273,Fuel (diesel),2023-07-15,750.0
20274,Fuel (diesel),2023-08-15,958.333211
20275,Fuel (diesel),2023-09-15,2000.0
20276,Fuel (diesel),2023-10-15,2000.0
20277,Fuel (diesel),2023-11-15,2013.333323
20278,Fuel (diesel),2023-12-15,2032.258057
20279,Fuel (diesel),2024-01-15,4318.421219
20280,Fuel (diesel),2024-02-15,2200.0
20281,Fuel (diesel),2024-03-15,2200.0
20282,Fuel (diesel),2024-04-15,2200.0
20283,Fuel (diesel),2024-05-15,2200.0
20284,Fuel (diesel),2024-06-15,2200.0
20285,Fuel (diesel),2024-07-15,2200.0
20286,Fuel (diesel),2024-08-15,2200.0
20287,Fuel (diesel),2024-09-15,2200.0
20288,Fuel (diesel),2024-10-15,4458.064883
20289,Fuel (diesel),2024-11-15,5180.000014
20290,Fuel (diesel),2024-12-15,7363.636461
20291,Fuel (diesel),2025-01-15,13442.307873
20292,Fuel (diesel),2025-02-15,12500.0
20293,Fuel (diesel),2025-03-15,8477.9268
20294,Fuel (diesel),2025-04-15,9135.1514
20295,Fuel (diesel),2025-05-15,9306.1133
20296,Fuel (diesel),2025-06-15,9755.1455
20356,Oil,2023-01-15,18833.3333
20357,Oil,2023-02-15,18644.927495
20358,Oil,2023-03-15,18542.935417
20359,Oil,2023-04-15,18500.0
20360,Oil,2023-06-15,15570.513113
20361,Oil,2023-07-15,16811.827946
20362,Oil,2023-08-15,24994.773933
20363,Oil,2023-09-15,25955.63352
20364,Oil,2023-10-15,23000.0
20365,Oil,2023-11-15,22906.667585
20366,Oil,2023-12-15,24053.838811
20367,Oil,2024-01-15,25578.973519
20368,Oil,2024-02-15,25597.551773
20369,Oil,2024-03-15,24257.871073
20370,Oil,2024-04-15,24311.110354
20371,Oil,2024-05-15,23903.224431
20372,Oil,2024-06-15,23788.88863
20373,Oil,2024-07-15,23483.870659
20374,Oil,2024-08-15,23838.710033
20375,Oil,2024-09-15,24000.0
20376,Oil,2024-10-15,26333.333354
20377,Oil,2024-11-15,26288.888853
20378,Oil,2024-12-15,31378.788002
20379,Oil,2025-01-15,19538.461642
20380,Oil,2025-02-15,19000.0
20381,Oil,2025-03-15,35177.0938
20382,Oil,2025-04-15,34549.6523
20383,Oil,2025-05-15,32462.5
20384,Oil,2025-06-15,34418.4453
20385,"Fuel (diesel, heating, parallel market)",2023-01-15,10500.0
20386,"Fuel (diesel, heating, parallel market)",2023-02-15,9000.0
20387,"Fuel (diesel, heating, parallel market)",2023-03-15,7112.902979
20388,"Fuel (diesel, heating, parallel market)",2023-04-15,6750.0
20389,"Fuel (diesel, heating, parallel market)",2023-05-15,6000.0
20390,"Fuel (diesel, heating, parallel market)",2023-06-15,6866.66676
20391,"Fuel (diesel, heating, parallel market)",2023-07-15,7338.709597
20392,"Fuel (diesel, heating, parallel market)",2023-08-15,10500.0
20393,"Fuel (diesel, heating, parallel market)",2023-09-15,12750.000175
20394,"Fuel (diesel, heating, parallel market)",2023-10-15,12516.129017
20395,"Fuel (diesel, heating, parallel market)",2023-11-15,12016.666654
20396,"Fuel (diesel, heating, parallel market)",2023-12-15,11838.70971
20397,"Fuel (diesel, heating, parallel market)",2024-01-15,11684.21054
20398,"Fuel (diesel, heating, parallel market)",2024-02-15,12362.069065
20399,"Fuel (diesel, heating, parallel market)",2024-03-15,12725.806473
20400,"Fuel (diesel, heating, parallel market)",2024-04-15,13233.333348
20401,"Fuel (diesel, heating, parallel market)",2024-05-15,14000.0
20402,"Fuel (diesel, heating, parallel market)",2024-06-15,15233.333348
20403,"Fuel (diesel, heating, parallel market)",2024-07-15,15096.774106
20404,"Fuel (diesel, heating, parallel market)",2024-08-15,15129.03217
20405,"Fuel (diesel, heating, parallel market)",2024-09-15,14833.333255
20406,"Fuel (diesel, heating, parallel market)",2024-10-15,17209.677616
20407,"Fuel (diesel, heating, parallel market)",2024-11-15,15749.999824
20408,"Fuel (diesel, heating, parallel market)",2024-12-15,19300.000186
20409,"Fuel (diesel, heating, parallel market)",2025-01-15,12673.077052
20410,"Fuel (diesel, heating, parallel market)",2025-02-15,12000.0
20411,"Fuel (diesel, heating, parallel market)",2025-03-15,17499.3398
20412,"Fuel (diesel, heating, parallel market)",2025-04-15,17736.1934
20413,"Fuel (diesel, heating, parallel market)",2025-05-15,18022.0488
20414,"Fuel (diesel, heating, parallel market)",2025-06-15,18334.3066
20415,"Fuel (diesel, transport, parallel market)",2023-01-15,10000.0
20416,"Fuel (diesel, transport, parallel market)",2023-02-15,7244.444466
20417,"Fuel (diesel, transport, parallel market)",2023-03-15,6333.26923
20418,"Fuel (diesel, transport, parallel market)",2023-04-15,6333.0
20419,"Fuel (diesel, transport, parallel market)",2023-06-15,6451.922988
20420,"Fuel (diesel, transport, parallel market)",2023-07-15,6594.075204
20421,"Fuel (diesel, transport, parallel market)",2023-08-15,9736.386974
20422,"Fuel (diesel, transport, parallel market)",2023-09-15,13187.266714
20423,"Fuel (diesel, transport, parallel market)",2023-10-15,12583.0
20424,"Fuel (diesel, transport, parallel market)",2023-11-15,12200.000112
20425,"Fuel (diesel, transport, parallel market)",2023-12-15,12064.516183
